timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,159.5,159.5,159.5
2020-09-01,159.8,159.8,159.8
2020-10-01,160.1,160.1,160.1
2020-11-01,160.4,160.4,160.4
2020-12-01,160.8,160.8,160.8
2021-01-01,161.2,161.2,161.2
2021-02-01,161.6,161.6,161.6
2021-03-01,162.0,162.0,162.0
2021-04-01,162.4,162.4,162.4
2021-05-01,162.8,162.8,162.8
2021-06-01,163.2,163.2,163.2
2021-07-01,163.6,163.6,163.6
2021-08-01,164.0,164.0,164.0
2021-09-01,164.4,164.4,164.4
2021-10-01,164.8,164.8,164.8
2021-11-01,165.2,165.2,165.2
2021-12-01,165.6,165.6,165.6
