timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,171.5,171.5,171.5
2022-09-01,172.8,172.8,172.8
2022-10-01,173.9,173.9,173.9
2022-11-01,175.4,175.4,175.4
2022-12-01,176.8,176.8,176.8
2023-01-01,178.2,178.2,178.2
2023-02-01,179.5,179.5,179.5
2023-03-01,180.7,180.7,180.7
2023-04-01,181.9,181.9,181.9
2023-05-01,183.2,183.2,183.2
2023-06-01,184.4,184.4,184.4
2023-07-01,185.6,185.6,185.6
2023-08-01,186.8,186.8,186.8
2023-09-01,188.0,188.0,188.0
2023-10-01,189.2,189.2,189.2
2023-11-01,190.4,190.4,190.4
2023-12-01,191.6,191.6,191.6
