timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,171.0,171.0,171.0
2022-09-01,172.0,172.0,172.0
2022-10-01,173.0,173.0,173.0
2022-11-01,174.0,174.0,174.0
2022-12-01,175.0,175.0,175.0
2023-01-01,176.0,176.0,176.0
2023-02-01,177.0,177.0,177.0
2023-03-01,178.0,178.0,178.0
2023-04-01,179.0,179.0,179.0
2023-05-01,180.0,180.0,180.0
2023-06-01,181.0,181.0,181.0
2023-07-01,182.0,182.0,182.0
2023-08-01,183.0,183.0,183.0
2023-09-01,184.0,184.0,184.0
2023-10-01,185.0,185.0,185.0
2023-11-01,186.0,186.0,186.0
2023-12-01,187.0,187.0,187.0
