timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,185.5,185.5,185.5
2022-09-01,188.2,188.2,188.2
2022-10-01,190.5,190.5,190.5
2022-11-01,190.0,190.0,190.0
2022-12-01,188.9,188.9,188.9
2023-01-01,192.8,192.8,192.8
2023-02-01,192.7,192.7,192.7
2023-03-01,191.4,191.4,191.4
2023-04-01,194.4,194.4,194.4
2023-05-01,194.5,194.5,194.5
2023-06-01,194.1,194.1,194.1
2023-07-01,195.4,195.4,195.4
2023-08-01,195.7,195.7,195.7
2023-09-01,198.4,198.4,198.4
2023-10-01,200.7,200.7,200.7
2023-11-01,200.2,200.2,200.2
2023-12-01,199.1,199.1,199.1
