timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,150.2,150.2,150.2
2020-09-01,143.8,143.8,143.8
2020-10-01,140.7,140.7,140.7
2020-11-01,148.3,148.3,148.3
2020-12-01,153.3,153.3,153.3
2021-01-01,158.4,158.4,158.4
2021-02-01,160.3,160.3,160.3
2021-03-01,158.4,158.4,158.4
2021-04-01,158.8,158.8,158.8
2021-05-01,157.5,157.5,157.5
2021-06-01,161.6,161.6,161.6
2021-07-01,162.9,162.9,162.9
2021-08-01,151.4,151.4,151.4
2021-09-01,145.7,145.7,145.7
2021-10-01,142.2,142.2,142.2
2021-11-01,151.4,151.4,151.4
2021-12-01,156.3,156.3,156.3
