timestamp,q_0.05,q_0.95,q_0.5
2020-08-01,157.81012,157.81012,157.81012
2020-09-01,157.72684,157.72684,157.72684
2020-10-01,157.64744,157.64744,157.64744
2020-11-01,157.57214,157.57214,157.57214
2020-12-01,157.49994,157.49994,157.49994
2021-01-01,158.50006,158.50006,158.50006
2021-02-01,163.79077,163.79077,163.79077
2021-03-01,163.66605,163.66605,163.66605
2021-04-01,163.54398,163.54398,163.54398
2021-05-01,163.42355,163.42355,163.42355
2021-06-01,163.30466,163.30466,163.30466
2021-07-01,163.18788,163.18788,163.18788
2021-08-01,163.0739,163.0739,163.0739
2021-09-01,162.96356,162.96356,162.96356
2021-10-01,162.85748,162.85748,162.85748
2021-11-01,162.7563,162.7563,162.7563
2021-12-01,162.65998,162.65998,162.65998
