timestamp,q_0.05,q_0.95,q_0.5
2019-08-01,157.8,157.8,157.8
2019-09-01,155.4,155.4,155.4
2019-10-01,153.0,153.0,153.0
2019-11-01,151.6,151.6,151.6
2019-12-01,150.2,150.2,150.2
2020-01-01,148.8,148.8,148.8
2020-02-01,147.4,147.4,147.4
2020-03-01,146.0,146.0,146.0
2020-04-01,144.6,144.6,144.6
2020-05-01,143.2,143.2,143.2
2020-06-01,141.8,141.8,141.8
2020-07-01,140.4,140.4,140.4
2020-08-01,139.0,139.0,139.0
2020-09-01,137.6,137.6,137.6
2020-10-01,136.2,136.2,136.2
2020-11-01,134.8,134.8,134.8
2020-12-01,133.4,133.4,133.4
