timestamp,q_0.05,q_0.95,q_0.5
2021-08-01,153.0,153.0,153.0
2021-09-01,152.0,152.0,152.0
2021-10-01,148.0,148.0,148.0
2021-11-01,150.0,150.0,150.0
2021-12-01,152.0,152.0,152.0
2022-01-01,158.0,158.0,158.0
2022-02-01,160.0,160.0,160.0
2022-03-01,156.0,156.0,156.0
2022-04-01,152.0,152.0,152.0
2022-05-01,153.0,153.0,153.0
2022-06-01,154.0,154.0,154.0
2022-07-01,155.0,155.0,155.0
2022-08-01,156.0,156.0,156.0
2022-09-01,154.0,154.0,154.0
2022-10-01,153.0,153.0,153.0
2022-11-01,155.0,155.0,155.0
2022-12-01,156.0,156.0,156.0
