timestamp,q_0.05,q_0.95,q_0.5
2018-08-01,133.1,133.1,133.1
2018-09-01,127.2,127.2,127.2
2018-10-01,124.5,124.5,124.5
2018-11-01,131.8,131.8,131.8
2018-12-01,134.2,134.2,134.2
2019-01-01,137.8,137.8,137.8
2019-02-01,140.2,140.2,140.2
2019-03-01,138.9,138.9,138.9
2019-04-01,138.1,138.1,138.1
2019-05-01,138.6,138.6,138.6
2019-06-01,141.5,141.5,141.5
2019-07-01,140.8,140.8,140.8
2019-08-01,134.9,134.9,134.9
2019-09-01,129.4,129.4,129.4
2019-10-01,128.1,128.1,128.1
2019-11-01,135.2,135.2,135.2
2019-12-01,137.9,137.9,137.9
