timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,178.9,178.9,178.9
2022-09-01,180.6,180.6,180.6
2022-10-01,182.3,182.3,182.3
2022-11-01,184.0,184.0,184.0
2022-12-01,185.7,185.7,185.7
2023-01-01,187.4,187.4,187.4
2023-02-01,189.1,189.1,189.1
2023-03-01,190.8,190.8,190.8
2023-04-01,192.5,192.5,192.5
2023-05-01,194.2,194.2,194.2
2023-06-01,195.9,195.9,195.9
2023-07-01,197.6,197.6,197.6
2023-08-01,199.3,199.3,199.3
2023-09-01,201.0,201.0,201.0
2023-10-01,202.7,202.7,202.7
2023-11-01,204.4,204.4,204.4
2023-12-01,206.1,206.1,206.1
