timestamp,q_0.05,q_0.95,q_0.5
2021-08-01,157.7,157.7,157.7
2021-09-01,155.0,155.0,155.0
2021-10-01,156.5,156.5,156.5
2021-11-01,155.7,155.7,155.7
2021-12-01,156.8,156.8,156.8
2022-01-01,155.5,155.5,155.5
2022-02-01,157.5,157.5,157.5
2022-03-01,157.2,157.2,157.2
2022-04-01,156.6,156.6,156.6
2022-05-01,158.3,158.3,158.3
2022-06-01,158.2,158.2,158.2
2022-07-01,158.6,158.6,158.6
2022-08-01,159.1,159.1,159.1
2022-09-01,156.4,156.4,156.4
2022-10-01,158.2,158.2,158.2
2022-11-01,157.8,157.8,157.8
2022-12-01,158.9,158.9,158.9
