timestamp,q_0.05,q_0.95,q_0.5
2021-08-01,178.9,178.9,178.9
2021-09-01,179.7,179.7,179.7
2021-10-01,180.5,180.5,180.5
2021-11-01,181.4,181.4,181.4
2021-12-01,182.2,182.2,182.2
2022-01-01,183.0,183.0,183.0
2022-02-01,183.8,183.8,183.8
2022-03-01,184.6,184.6,184.6
2022-04-01,185.4,185.4,185.4
2022-05-01,186.2,186.2,186.2
2022-06-01,187.0,187.0,187.0
2022-07-01,187.8,187.8,187.8
2022-08-01,188.6,188.6,188.6
2022-09-01,189.4,189.4,189.4
2022-10-01,190.2,190.2,190.2
2022-11-01,191.0,191.0,191.0
2022-12-01,191.8,191.8,191.8
