timestamp,q_0.05,q_0.95,q_0.5
2022-08-01,178.1,178.1,178.1
2022-09-01,179.4,179.4,179.4
2022-10-01,180.7,180.7,180.7
2022-11-01,182.0,182.0,182.0
2022-12-01,183.3,183.3,183.3
2023-01-01,184.6,184.6,184.6
2023-02-01,185.9,185.9,185.9
2023-03-01,187.2,187.2,187.2
2023-04-01,188.5,188.5,188.5
2023-05-01,189.8,189.8,189.8
2023-06-01,191.1,191.1,191.1
2023-07-01,192.4,192.4,192.4
2023-08-01,193.7,193.7,193.7
2023-09-01,195.0,195.0,195.0
2023-10-01,196.3,196.3,196.3
2023-11-01,197.6,197.6,197.6
2023-12-01,198.9,198.9,198.9
