timestamp,q_0.05,q_0.95,q_0.5
2021-08-01,158.5,158.5,158.5
2021-09-01,158.2,158.2,158.2
2021-10-01,159.0,159.0,159.0
2021-11-01,159.3,159.3,159.3
2021-12-01,159.8,159.8,159.8
2022-01-01,160.0,160.0,160.0
2022-02-01,160.5,160.5,160.5
2022-03-01,161.0,161.0,161.0
2022-04-01,161.5,161.5,161.5
2022-05-01,162.0,162.0,162.0
2022-06-01,162.5,162.5,162.5
2022-07-01,163.0,163.0,163.0
2022-08-01,163.5,163.5,163.5
2022-09-01,164.0,164.0,164.0
2022-10-01,164.5,164.5,164.5
2022-11-01,165.0,165.0,165.0
2022-12-01,165.5,165.5,165.5
