timestamp,q_0.05,q_0.95,q_0.5
2019-07-01,155.6,164.64,160.05
2019-08-01,142.785,159.095,150.7
2019-09-01,134.445,153.675,145.89999999999998
2019-10-01,133.04999999999998,156.61,145.45
2019-11-01,137.395,161.065,150.5
2019-12-01,140.06,165.71,152.7
2020-01-01,146.375,173.12,156.10000000000002
2020-02-01,152.835,179.52,167.7
2020-03-01,150.535,177.9,166.8
2020-04-01,155.19,179.105,168.25
2020-05-01,154.58,182.83,169.14999999999998
2020-06-01,160.305,186.53,173.6
2020-07-01,163.115,187.585,169.85
2020-08-01,153.68,181.31,161.75
2020-09-01,147.765,177.92499999999998,159.8
2020-10-01,147.125,181.33,161.05
2020-11-01,151.285,190.72,169.89999999999998
2020-12-01,160.18,196.95,173.60000000000002
