timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2017-08-01,134.99678,2.788084,79.56649,99.20195,119.49717,150.49638,170.7916,190.42706,267.20547
2017-09-01,136.50978,38.585724,77.66241,93.3537,115.2327,157.78685,179.66586,195.35716,234.43384
2017-10-01,128.15414,-62.561356,48.194115,76.51891,105.79543,150.51285,179.78935,208.11417,318.86966
2017-11-01,131.53595,-87.23954,39.811394,72.30363,105.887596,157.18428,190.76823,223.2605,350.31143
2017-12-01,130.4139,-110.78169,29.289413,65.11145,102.13711,158.69069,195.71632,231.53838,371.6095
2018-01-01,132.15535,-128.10312,23.038494,61.691727,101.64371,162.667,202.61896,241.27223,392.41382
2018-02-01,129.82903,-158.64671,8.881671,51.725708,96.00929,163.64876,207.93231,250.77637,418.30478
2018-03-01,127.260956,-162.97287,5.576507,48.68165,93.235115,161.2868,205.84026,248.9454,417.49478
2018-04-01,125.18166,-49.415714,20.25643,48.23379,87.2442,163.11913,202.12953,230.1069,299.77905
2018-05-01,125.571915,-190.46904,-6.93256,40.005432,88.52054,162.62329,211.13838,258.0764,441.61285
2018-06-01,124.30466,-200.07451,-11.69574,36.480625,86.27573,162.33357,212.12866,260.30505,448.68384
2018-07-01,121.26859,-60.902336,11.184178,40.376507,81.30316,161.23402,202.16066,231.35301,303.4395
2018-08-01,122.423416,-61.253742,9.914802,39.345577,81.16673,163.6801,205.50125,234.93204,306.1006
2018-09-01,123.86964,-64.90698,9.208278,39.459114,82.08512,165.65416,208.28015,238.53099,312.64624
2018-10-01,116.49817,-77.4478,-2.4800165,28.595198,72.82018,160.17615,204.40112,235.47635,310.44412
2018-11-01,120.04227,-70.74081,0.7075257,31.252745,75.59378,164.49075,208.83177,239.37701,310.82535
2018-12-01,115.08634,-85.44711,-11.361526,20.72797,67.7026,162.47008,209.4447,241.5342,315.61978
2019-01-01,119.0254,-77.98635,-5.268489,26.256226,72.43,165.62079,211.79454,243.31926,316.03714
