timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,156.26466,10.311492,94.96161,116.65207,139.10086,173.42845,195.87724,217.5677,302.21783
2022-09-01,157.29866,-43.858223,72.14501,102.120995,133.3236,181.27373,212.47633,242.45232,358.45557
2022-10-01,160.27083,-75.65327,61.244015,96.29712,132.55814,187.98354,224.24454,259.29764,396.19495
2022-11-01,161.09415,-81.94598,59.06284,95.175415,132.53712,189.65118,227.01286,263.12546,404.13428
2022-12-01,163.54387,-92.98089,55.48883,93.64989,133.22826,193.8595,233.43785,271.5989,420.06863
2023-01-01,172.976,-102.60865,57.198406,98.15705,140.55489,205.39713,247.79494,288.7536,448.56064
2023-02-01,167.14792,-139.854,38.14952,83.78024,131.0202,203.27562,250.51558,296.14633,474.14984
2023-03-01,167.035,-173.8074,23.747631,74.41681,126.891556,207.17847,259.6532,310.3224,507.87744
2023-04-01,162.69818,-189.18596,14.514757,66.85676,121.132164,204.26419,258.53958,310.8816,514.58234
2023-05-01,161.78818,-225.11063,-1.1542645,56.397804,116.07944,207.49692,267.17853,324.73062,548.687
2023-06-01,156.30716,-246.04517,-13.333964,46.54027,108.68116,203.93317,266.07404,325.94827,558.6595
2023-07-01,153.25748,-188.6432,8.953484,59.85038,112.71456,193.80037,246.66455,297.56146,495.15814
2023-08-01,147.64763,-243.67674,-18.169565,40.16446,100.92916,194.36609,255.13077,313.4648,538.972
2023-09-01,139.38481,-251.89876,-30.014238,28.739603,90.921555,187.84805,250.02997,308.78384,530.6684
2023-10-01,141.40256,-245.26913,-28.652996,29.70802,92.20446,190.60065,253.09708,311.4581,528.0743
2023-11-01,137.18912,-271.16458,-36.840313,24.152414,87.95582,186.42241,250.2258,311.21854,545.54285
2023-12-01,136.15173,-269.75754,-36.1987,24.352245,87.52149,184.78197,247.95117,308.50214,542.061
2024-01-01,144.02965,-268.19504,-36.149532,25.943924,92.13069,195.9286,262.11536,324.2088,556.25433
