timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,160.69237,149.85378,148.96826,150.12813,153.45708,164.93677,167.82056,168.7145,172.64218
2022-09-01,160.04526,149.50874,148.84628,149.89372,152.8447,164.48308,168.1461,168.79279,172.78442
2022-10-01,159.65884,149.19322,148.75314,149.8049,152.449,164.12357,168.21735,168.66367,172.9078
2022-11-01,159.41806,148.94812,148.70065,149.7272,152.16615,163.81459,168.17906,168.48946,173.00482
2022-12-01,159.24387,148.7745,148.69403,149.62744,151.94879,163.53065,168.08621,168.32288,173.08267
2023-01-01,160.7502,151.3689,149.11871,153.35144,154.93253,166.8465,169.33653,169.39389,169.646
2023-02-01,160.59807,150.89313,148.91803,152.83661,154.53398,166.57045,169.35347,169.36351,170.28256
2023-03-01,160.44778,150.47955,148.76521,152.34543,154.16006,166.27257,169.32597,169.31606,170.82921
2023-04-01,160.29504,150.12386,148.65352,151.89758,153.81259,165.95918,169.25989,169.24983,171.29768
2023-05-01,160.14153,149.81825,148.57715,151.49438,153.49034,165.63628,169.16467,169.16515,171.69455
2023-06-01,159.98885,149.55626,148.53038,151.135,153.19298,165.30997,169.04755,169.06361,172.02708
2023-07-01,159.83907,149.33282,148.50829,150.81728,152.92038,164.98575,168.9146,168.94823,172.30252
2023-08-01,159.69397,149.14354,148.50638,150.53801,152.67195,164.66803,168.77095,168.8226,172.5279
2023-09-01,159.55484,148.9843,148.52069,150.2935,152.44664,164.36009,168.62088,168.69026,172.71002
2023-10-01,159.4228,148.85149,148.54787,150.07993,152.243,164.0642,168.46788,168.55434,172.85533
2023-11-01,159.29843,148.74156,148.58496,149.89355,152.05937,163.78174,168.31464,168.41736,172.96965
2023-12-01,159.1818,148.65125,148.62949,149.73085,151.89397,163.51346,168.16309,168.2813,173.05815
2024-01-01,160.70686,151.26596,149.07141,153.38324,154.88176,166.82384,169.37192,169.36559,169.67229
