timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2022-08-01,174.88054,163.97052,168.62936,169.64409,171.80444,176.70064,180.32597,182.66876,188.0949
2022-09-01,175.19427,163.4732,168.25314,169.87914,171.95459,176.9904,180.96806,182.82248,188.12503
2022-10-01,175.61183,163.1417,168.21234,170.36876,172.39383,177.9531,182.02452,183.28333,187.89546
2022-11-01,176.15805,163.0635,168.52391,171.0451,173.02345,179.05634,183.03908,183.7721,187.22115
2022-12-01,176.72252,163.13641,168.90135,171.63914,173.53748,179.75906,183.55292,183.98709,186.29877
2023-01-01,177.63724,166.91496,171.80103,173.38113,174.91736,180.746,183.58736,184.14743,188.10524
2023-02-01,178.03018,167.15463,172.26886,173.66249,175.1922,180.97614,183.63464,184.38635,187.66371
2023-03-01,178.39375,167.40283,172.77625,173.87404,175.49272,181.22775,183.54388,184.63295,187.15509
2023-04-01,178.69785,167.41982,173.00014,173.98499,175.65671,181.44955,183.51349,184.82474,186.76935
2023-05-01,178.91617,167.21027,172.93942,173.9993,175.6854,181.66054,183.59097,184.9851,186.51924
2023-06-01,179.03806,166.8678,172.71562,173.93112,175.61906,181.82782,183.72655,185.11198,186.32413
2023-07-01,179.07376,166.46889,172.41,173.79883,175.49391,181.92168,183.86656,185.18509,186.14693
2023-08-01,179.04767,166.06624,172.07181,173.63138,175.35278,181.93756,183.96272,185.19185,185.97464
2023-09-01,178.9807,165.68088,171.73228,173.46248,175.22206,181.87968,183.99213,185.13275,185.7772
2023-10-01,178.88121,165.29688,171.39426,173.31442,175.09378,181.7467,183.9716,185.01688,185.52493
2023-11-01,178.69345,164.80963,170.92719,173.12842,174.88406,181.52457,183.95755,184.81348,185.2849
2023-12-01,178.38165,164.2044,170.30063,172.86612,174.56067,181.19014,183.94356,184.50006,185.07585
2024-01-01,178.53983,167.67978,172.97362,174.11644,175.70978,181.73189,183.28313,184.40764,186.57959
