timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2019-08-01,151.37692,141.00879,144.38702,146.02988,148.61911,154.13474,156.72397,158.3668,161.74506
2019-09-01,139.65474,126.49237,130.80891,132.89598,136.17334,143.13615,146.4135,148.50058,152.81714
2019-10-01,140.05872,119.93067,126.54669,129.73906,134.74556,145.37189,150.37839,153.57076,160.18677
2019-11-01,145.25641,128.35362,133.86859,136.54727,140.76578,149.74704,153.96556,156.64424,162.1592
2019-12-01,154.35675,141.05933,145.37686,147.48303,150.80905,157.90443,161.23047,163.33664,167.65416
2020-01-01,156.21228,141.46841,146.25471,148.58994,152.27806,160.1465,163.83463,166.16985,170.95615
2020-02-01,158.09589,141.98566,147.22963,149.78203,153.80705,162.38472,166.40974,168.96214,174.20612
2020-03-01,160.33054,142.31577,148.21083,151.06665,155.55667,165.1044,169.59442,172.45024,178.34532
2020-04-01,156.26306,141.4225,146.2362,148.58649,152.30022,160.2259,163.9396,166.2899,171.1036
2020-05-01,152.93993,136.81287,142.06616,144.62143,148.64932,157.23055,161.25844,163.8137,169.06699
2020-06-01,161.11203,150.49063,153.92921,155.61095,158.27115,163.95291,166.61311,168.29485,171.73343
2020-07-01,160.09756,150.18558,153.39488,154.96432,157.44672,162.74841,165.2308,166.80025,170.00955
2020-08-01,154.55289,145.21768,148.23303,149.71072,152.05116,157.05461,159.39505,160.87274,163.88809
2020-09-01,147.97607,138.4528,141.53958,143.04765,145.43153,150.52061,152.9045,154.41258,157.49934
2020-10-01,148.79129,137.01424,140.84209,142.70766,145.65202,151.93056,154.87492,156.7405,160.56834
2020-11-01,151.2513,138.09409,142.37254,144.45685,147.74557,154.75702,158.04575,160.13005,164.40851
2020-12-01,160.59232,142.8873,148.66847,151.47452,155.8917,165.29294,169.7101,172.51616,178.29733
2021-01-01,156.462,140.73943,145.87001,148.36168,152.28542,160.6386,164.56233,167.054,172.18459
