timestamp,q_0.05,q_0.95,q_0.5
2021-07-01,155.2,155.2,155.2
2021-08-01,157.1,157.1,157.1
2021-09-01,159.0,159.0,159.0
2021-10-01,160.9,160.9,160.9
2021-11-01,162.8,162.8,162.8
2021-12-01,164.7,164.7,164.7
2022-01-01,166.6,166.6,166.6
2022-02-01,168.5,168.5,168.5
2022-03-01,170.4,170.4,170.4
2022-04-01,172.3,172.3,172.3
2022-05-01,174.2,174.2,174.2
2022-06-01,176.1,176.1,176.1
2022-07-01,178.0,178.0,178.0
2022-08-01,179.9,179.9,179.9
2022-09-01,181.8,181.8,181.8
2022-10-01,183.7,183.7,183.7
2022-11-01,185.6,185.6,185.6
2022-12-01,187.5,187.5,187.5
