timestamp,q_0.05,q_0.95,q_0.5
2021-07-01,154.1,154.1,154.1
2021-08-01,155.3,155.3,155.3
2021-09-01,153.2,153.2,153.2
2021-10-01,152.9,152.9,152.9
2021-11-01,155.7,155.7,155.7
2021-12-01,157.5,157.5,157.5
2022-01-01,158.9,158.9,158.9
2022-02-01,160.2,160.2,160.2
2022-03-01,162.7,162.7,162.7
2022-04-01,164.9,164.9,164.9
2022-05-01,162.1,162.1,162.1
2022-06-01,160.3,160.3,160.3
2022-07-01,159.7,159.7,159.7
2022-08-01,160.5,160.5,160.5
2022-09-01,158.3,158.3,158.3
2022-10-01,156.8,156.8,156.8
2022-11-01,154.9,154.9,154.9
2022-12-01,153.5,153.5,153.5
