timestamp,q_0.05,q_0.95,q_0.5
2018-07-01,156.345,152.455,158.0
2018-08-01,155.845,153.01,158.2
2018-09-01,156.545,151.655,158.4
2018-10-01,155.845,152.71,157.7
2018-11-01,155.345,152.91,157.85000000000002
2018-12-01,155.2,153.35500000000002,157.5
2019-01-01,155.18,153.31,157.7
2019-02-01,154.95,153.555,157.75
2019-03-01,154.445,153.91,157.75
2019-04-01,154.38,153.755,158.3
2019-05-01,155.005,154.255,158.6
2019-06-01,154.335,154.31,158.4
2019-07-01,155.045,154.2,158.75
2019-08-01,155.025,155.23,158.8
2019-09-01,154.6,153.155,158.9
2019-10-01,154.715,153.71,158.55
2019-11-01,153.9,153.9,158.6
2019-12-01,153.79,154.055,158.25
