timestamp,q_0.5,q_0.01,q_0.05,q_0.1,q_0.25,q_0.75,q_0.9,q_0.95,q_0.99
2021-08-01,150.37837,142.5845,145.29237,146.53491,148.42209,152.33466,154.22182,155.46436,158.17224
2021-09-01,142.4775,129.94319,134.28368,136.28143,139.32152,145.63347,148.67357,150.6713,155.0118
2021-10-01,143.584,130.18556,134.81404,136.9491,140.20279,146.96523,150.21893,152.35397,156.98245
2021-11-01,153.46487,137.73448,143.24886,145.75835,149.54979,157.37996,161.1714,163.68091,169.19527
2021-12-01,155.62233,139.6553,145.22026,147.7664,151.6264,159.61824,163.47824,166.02438,171.58934
2022-01-01,160.80344,141.76492,148.35149,151.38564,156.00552,165.60136,170.22124,173.2554,179.84196
2022-02-01,165.0052,143.0368,150.67395,154.17639,159.49411,170.5163,175.83401,179.33646,186.9736
2022-03-01,161.73944,140.30891,147.65176,151.06439,156.28995,167.18893,172.41449,175.82712,183.16997
2022-04-01,156.61447,135.65451,142.89603,146.23604,151.32565,161.90327,166.99289,170.3329,177.57442
2022-05-01,156.45116,136.6389,143.46696,146.62346,151.44037,161.46196,166.27887,169.43535,176.26343
2022-06-01,156.5622,135.06622,142.53928,145.9664,151.16971,161.95467,167.15799,170.58511,178.05818
2022-07-01,162.46442,143.51692,150.09436,153.11482,157.70468,167.22414,171.814,174.83447,181.41191
2022-08-01,156.84024,136.67099,143.61578,146.82892,151.73485,161.94565,166.85158,170.0647,177.0095
2022-09-01,141.87065,118.29212,126.50884,130.26869,135.96913,147.77219,153.47263,157.23247,165.4492
2022-10-01,154.22868,130.95602,139.08595,142.7977,148.41716,160.0402,165.65967,169.37143,177.50136
2022-11-01,155.61252,133.72163,141.51367,145.00964,150.24379,160.98125,166.21538,169.71136,177.50342
2022-12-01,159.86478,136.15498,144.44917,148.23106,153.95195,165.77762,171.4985,175.2804,183.57458
2023-01-01,163.72734,135.17393,145.16675,149.72136,156.60944,170.84525,177.73332,182.28795,192.28075
